Date,Open,High,Low,Close,Adj Close,Volume
2022-03-11,6872631836,6922602051,685385791,6922602051,6922602051,174120300
2022-03-12,,,,,,
2022-03-13,,,,,,
2022-03-14,6949206055,6969993164,6918312988,6952204102,6952204102,193318000
2022-03-15,6968349121,6996320801,6894920898,6918185059,6918185059,189709300
2022-03-16,6951352051,699239502,6946842773,699239502,699239502,171297500
2022-03-17,7016532227,7032702148,6949166016,6964384766,6964384766,197411300
2022-03-18,6981262207,7000587891,6926414063,6954964844,6954964844,198102900
2022-03-19,,,,,,
2022-03-20,,,,,,
2022-03-21,6945893066,6974153809,6929934082,6955181152,6955181152,216686100
2022-03-22,6974977051,7003259766,6968201172,7000821777,7000821777,188258200
2022-03-23,7010838867,7022043945,697615918,6996115234,6996115234,214242900
2022-03-24,6986183105,7049685059,6977833984,7049685059,7049685059,264967400
2022-03-25,7050553223,705534082,6978398926,7002532227,7002532227,201857500
2022-03-26,,,,,,
2022-03-27,,,,,,
2022-03-28,6996317871,7051541016,6987223145,7049603027,7049603027,174012100
2022-03-29,7052734863,7072777832,7007910156,7011688965,7011688965,185204100
2022-03-30,7037202148,7055866211,7022651855,7053189941,7053189941,194572800
2022-03-31,707076123,709949707,7049810059,7071441895,7071441895,178707400
2022-04-01,7093699219,7099301758,7040491211,7078759766,7078759766,157645900
2022-04-02,,,,,,
2022-04-03,,,,,,
2022-04-04,708224707,7116217773,7060213867,7116217773,7116217773,173611100
2022-04-05,7122914063,7148298828,711011084,7148298828,7148298828,184230300
2022-04-06,7128412109,7147992188,7090224121,710421582,710421582,216736400
2022-04-07,7115086914,7145167969,7097903809,7127367188,7127367188,204797800
2022-04-08,7157309082,7216494141,7151258789,7210834961,7210834961,207396700
2022-04-09,,,,,,
2022-04-10,,,,,,
2022-04-11,721200293,7355299805,719460791,7203793945,7203793945,334575500
2022-04-12,7205077148,7320236816,7146585938,7214780762,7214780762,253923400
2022-04-13,7240188965,7266398926,721285791,7262776855,7262776855,245926100
2022-04-14,7265319824,7282905762,7234333008,7235532227,7235532227,238683900
2022-04-15,,,,,,
2022-04-16,,,,,,
2022-04-17,,,,,,
2022-04-18,7245503906,7277075195,724336084,7275289063,7275289063,210765700
