High;close;volume
17,79999924;17,68000031;12665924
17,98999977;17,89999962;12751662
18,05999947;18,01000023;8996146
18,30999947;18,28000069;22822092
18,45000076;18,31999969;20444020
18,25;18,14999962;13578521
18,36000061;18,26000023;21941040
18,51000023;18,47999954;28837668
18,52000046;18,45000076;37015284
18,54000092;18,25;17654368
18,19000053;18,05999947;47797984
18,12999916;18;23919226
17,98999977;17,87999916;9283623
17,97999954;17,80999947;5130073
18;17,93000031;7345830
18,12999916;18,02000046;26356260
18,22999954;18,09000015;9268434
18,07999992;17,97999954;18709396
18,11000061;18,11000061;6594261
18,25;18,03000069;4751424
18,12000084;18;3940343
17,95999908;17,89999962;8743750
18,09000015;17,89999962;8166284
18,07999992;17,94000053;18236664
18,07999992;17,95999908;6193632
18,06999969;18,06999969;5597961
18,13999939;18,02000046;8303105
17,90999985;17,79999924;6997047
17,92000008;17,71999931;5920508
17,82999992;17,62000084;14570148
17,78000069;17,78000069;6414923
17,96999931;17,84000015;6021452
18,11000061;17,52000046;22507900
17,64999962;17,63999939;9336626
17,63999939;17,45999908;12123560
17,68000031;17,60000038;9143372
17,54999924;17,23999977;13264790
17,32999992;17,17000008;10317511
17,20000076;16,80999947;11012440
16,92000008;16,76000023;37338448
16,96999931;16,80999947;7709169
16,82999992;16,62999916;9477084
16,79000092;16,60000038;8494789
16,59000015;16,45000076;7602314
16,59000015;16,53000069;7613276
16,63999939;16,55999947;4497521
16,76000023;16,70999908;7496880
16,82999992;16,73999977;6101261
16,88999939;16,73999977;4925606
16,84000015;16,55999947;10161810
16,65999985;16,54999924;5694676
16,72999954;16,54999924;8766304
17,03000069;16,97999954;19438174
17,18000031;17,03000069;7996281
17,17000008;17;21783390
17,23999977;17,15999985;10278599
17,22999954;17,20999908;14973690
17,34000015;17,29000092;20619350
17,38999939;17,30999947;16779484
17,36000061;17,28000069;4338772
17,29999924;17,23999977;7079972
17,13999939;17,01000023;7580673
17,14999962;17,05999947;4105545
17,15999985;16,95000076;9552389
16,94000053;16,82999992;11738430
16,95000076;16,89999962;5884696
16,97999954;16,89999962;6012910
17,12999916;17;14730630
17,13999939;17,03000069;22925056
17,45000076;17,32999992;12904310
17,48999977;17,29999924;8621365
17,40999985;17,23999977;7461730
17,40999985;17,35000038;9272903
17,35000038;17,29000092;4585535
17,90999985;17,84000015;23129470
17,89999962;17,75;8036843
17,85000038;17,68000031;8287934
17,98999977;17,97999954;9970587
18,12000084;17,79999924;9673878
17,94000053;17,85000038;7656002
17,95000076;17,85000038;8512211
17,98999977;17,87999916;10164510
18,07999992;17,79999924;9631688
17,85000038;17,76000023;3281342
17,79999924;17,54999924;15036370
17,65999985;17,52000046;5447659
17,56999969;17,53000069;5179223
17,64999962;17,46999931;2808947
17,69000053;17,48999977;6278176
